talkativeness,agreeableness,knowledge_sharing,mimicry,critical_thinking,equal,loop,timeout,percent
0.1,0.9,0.5,,0.9,47,3,0,"100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0"
0.1,0.9,0.5,0.5,0.1,43,7,0,"6.67, 20.0, 20.0, 13.33, 40.0, 26.67, 20.0, 6.67, 6.67, 6.67, 13.33, 26.67, 6.67, 13.33, 6.67, 20.0, 20.0, 20.0, 33.33, 26.67, 33.33, 6.67, 33.33, 13.33, 26.67, 13.33, 13.33, 6.67, 13.33, 6.67, 6.67, 20.0, 6.67, 13.33, 13.33, 13.33, 20.0, 26.67, 13.33, 6.67, 26.67, 20.0, 6.67"
0.1,0.9,0.5,0.5,0.5,44,6,0,"86.67, 80.0, 93.33, 93.33, 86.67, 93.33, 93.33, 100.0, 80.0, 93.33, 93.33, 93.33, 100.0, 100.0, 80.0, 86.67, 93.33, 86.67, 100.0, 86.67, 86.67, 100.0, 100.0, 80.0, 86.67, 93.33, 93.33, 93.33, 100.0, 80.0, 86.67, 86.67, 100.0, 80.0, 100.0, 93.33, 93.33, 80.0, 86.67, 100.0, 100.0, 100.0, 100.0, 80.0"
0.1,0.9,0.5,0.5,0.9,48,2,0,"100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 93.33, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0"
0.1,0.9,0.5,0.9,0.1,46,4,0,"13.33, 6.67, 20.0, 13.33, 26.67, 13.33, 0.0, 26.67, 26.67, 13.33, 26.67, 0.0, 6.67, 26.67, 6.67, 13.33, 20.0, 20.0, 13.33, 6.67, 26.67, 20.0, 13.33, 20.0, 13.33, 13.33, 26.67, 13.33, 33.33, 6.67, 20.0, 6.67, 13.33, 13.33, 20.0, 20.0, 13.33, 20.0, 26.67, 20.0, 20.0, 20.0, 0.0, 6.67, 26.67, 6.67"
0.1,0.9,0.5,0.9,0.5,43,7,0,"93.33, 100.0, 93.33, 100.0, 93.33, 100.0, 93.33, 100.0, 93.33, 93.33, 93.33, 100.0, 80.0, 93.33, 100.0, 80.0, 93.33, 93.33, 93.33, 93.33, 100.0, 100.0, 100.0, 93.33, 93.33, 86.67, 93.33, 93.33, 93.33, 100.0, 100.0, 100.0, 100.0, 93.33, 93.33, 100.0, 100.0, 100.0, 93.33, 93.33, 93.33, 100.0, 93.33"
0.1,0.9,0.5,0.9,0.9,47,3,0,"100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0"
0.1,0.9,0.9,,0.1,42,8,0,"13.33, 13.33, 0.0, 6.67, 26.67, 20.0, 0.0, 26.67, 6.67, 0.0, 13.33, 6.67, 13.33, 6.67, 26.67, 20.0, 13.33, 13.33, 13.33, 13.33, 6.67, 6.67, 20.0, 20.0, 40.0, 13.33, 6.67, 6.67, 26.67, 6.67, 20.0, 6.67, 0.0, 0.0, 6.67, 6.67, 13.33, 20.0, 13.33, 20.0, 0.0, 6.67"
0.1,0.9,0.9,,0.5,36,14,0,"86.67, 86.67, 80.0, 80.0, 93.33, 66.67, 100.0, 73.33, 86.67, 86.67, 86.67, 80.0, 93.33, 80.0, 93.33, 93.33, 93.33, 93.33, 93.33, 86.67, 100.0, 100.0, 100.0, 73.33, 93.33, 80.0, 86.67, 93.33, 73.33, 93.33, 100.0, 93.33, 100.0, 100.0, 93.33, 93.33"
0.1,0.9,0.9,,0.9,48,2,0,"100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0"
0.1,0.9,0.9,0.5,0.1,47,3,0,"20.0, 13.33, 26.67, 6.67, 26.67, 13.33, 20.0, 0.0, 13.33, 6.67, 20.0, 26.67, 0.0, 6.67, 26.67, 26.67, 20.0, 6.67, 0.0, 20.0, 20.0, 20.0, 6.67, 20.0, 6.67, 13.33, 13.33, 13.33, 6.67, 20.0, 0.0, 13.33, 13.33, 13.33, 20.0, 13.33, 20.0, 0.0, 13.33, 6.67, 6.67, 6.67, 13.33, 20.0, 13.33, 13.33, 6.67"
0.1,0.9,0.9,0.5,0.5,48,2,0,"86.67, 73.33, 93.33, 80.0, 93.33, 86.67, 86.67, 86.67, 93.33, 93.33, 80.0, 100.0, 100.0, 73.33, 80.0, 80.0, 100.0, 66.67, 86.67, 86.67, 100.0, 73.33, 100.0, 93.33, 73.33, 93.33, 86.67, 66.67, 86.67, 100.0, 93.33, 80.0, 66.67, 80.0, 93.33, 93.33, 86.67, 80.0, 86.67, 80.0, 60.0, 86.67, 80.0, 100.0, 86.67, 93.33, 80.0, 86.67"
0.1,0.9,0.9,0.5,0.9,48,2,0,"100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 93.33, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0"
0.1,0.9,0.9,0.9,0.1,44,6,0,"20.0, 13.33, 13.33, 26.67, 6.67, 20.0, 13.33, 20.0, 20.0, 13.33, 6.67, 6.67, 13.33, 6.67, 26.67, 13.33, 13.33, 6.67, 6.67, 6.67, 0.0, 6.67, 13.33, 26.67, 6.67, 6.67, 20.0, 0.0, 20.0, 6.67, 6.67, 0.0, 13.33, 20.0, 26.67, 0.0, 6.67, 26.67, 26.67, 26.67, 0.0, 13.33, 6.67, 20.0"
0.1,0.9,0.9,0.9,0.5,44,6,0,"93.33, 93.33, 86.67, 93.33, 86.67, 86.67, 93.33, 86.67, 86.67, 86.67, 100.0, 93.33, 93.33, 93.33, 93.33, 86.67, 86.67, 80.0, 93.33, 93.33, 86.67, 86.67, 86.67, 100.0, 93.33, 93.33, 80.0, 80.0, 86.67, 86.67, 73.33, 80.0, 80.0, 80.0, 93.33, 86.67, 86.67, 86.67, 86.67, 73.33, 93.33, 86.67, 93.33, 73.33"
0.1,0.9,0.9,0.9,0.9,46,4,0,"100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0"
0.5,0.1,0.1,,0.1,0,0,50,
0.5,0.1,0.1,,0.5,7,1,42,"100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0"
0.5,0.1,0.1,,0.9,42,8,0,"100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0"
0.5,0.1,0.1,0.5,0.1,0,0,50,
0.5,0.1,0.1,0.5,0.5,18,9,23,"100.0, 100.0, 93.33, 93.33, 100.0, 100.0, 100.0, 100.0, 93.33, 100.0, 93.33, 100.0, 100.0, 93.33, 100.0, 93.33, 100.0, 100.0"
0.5,0.1,0.1,0.5,0.9,28,22,0,"100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 93.33, 100.0, 100.0, 100.0, 100.0, 100.0"
0.5,0.1,0.1,0.9,0.1,0,0,50,
0.5,0.1,0.1,0.9,0.5,10,2,38,"100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0"
0.5,0.1,0.1,0.9,0.9,45,5,0,"100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0"
0.5,0.1,0.5,,0.1,0,0,50,
0.5,0.1,0.5,,0.5,36,13,1,"100.0, 100.0, 100.0, 100.0, 100.0, 93.33, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 93.33, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 93.33, 100.0, 100.0, 100.0, 93.33, 100.0, 100.0, 100.0"
